business_name,instagram_handle,instagram_url,followers_count,city,state,business_type,whatsapp_number,email,ordering_method,website_present,website_url,recent_activity_date,average_engagement,bio_text,keywords,reason_qualified,potential_services_needed,google_maps_link,lead_quality_score,notes
Jewellery Palace Bjs,_jewellery_palace_bjs,https://www.instagram.com/_jewellery_palace_bjs/,Unknown,Kolkata,West Bengal,Imitation / artificial jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,7,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Poojajewels,poojajewels_,https://www.instagram.com/poojajewels_/,Unknown,Delhi,Delhi,Fashion jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Khushbu Jewellers Tinwari,khushbu_jewellers_tinwari,https://www.instagram.com/khushbu_jewellers_tinwari/,Unknown,Mumbai,Maharashtra,Silver jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Jodhpuri Silver Jewellery,jodhpuri_silver,https://www.instagram.com/jodhpuri_silver/,Unknown,Bengaluru,Karnataka,Oxidised / Jodhpuri silver,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Khushbujewellers Com,khushbujewellers.com_,https://www.instagram.com/khushbujewellers.com_/,Unknown,Hyderabad,Telangana,Temple / South Indian jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,7,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Jewellery Shopper,jewellery_shopper_,https://www.instagram.com/jewellery_shopper_/,Unknown,Chennai,Tamil Nadu,Bridal / wedding jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Wear Nd Shine Jewelry,wear_nd_shine_jewelry,https://www.instagram.com/wear_nd_shine_jewelry/,Unknown,Pune,Maharashtra,Handmade / boutique jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Lakshmi Creations 9 Jewellery,lakshmi_creations_9,https://www.instagram.com/lakshmi_creations_9/,Unknown,Jaipur,Rajasthan,Pearl jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Mahavirimitationjewelle,mahavirimitationjewelle,https://www.instagram.com/mahavirimitationjewelle/,Unknown,Surat,Gujarat,Kundan / polki style (imitation),,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,7,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Rajaveer Imitation Ahemadabad Jewellery,rajaveer_imitation_ahemadabad,https://www.instagram.com/rajaveer_imitation_ahemadabad/,Unknown,Ahmedabad,Gujarat,One-gram gold covering,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
