S. Swarnakar & Son	s.swarnakarandson	+91 8981948452	Kolkata	West Bengal	Gold wedding / chatai necklaces	WhatsApp booking	No	—	8	Indexed reels show Kolkata-area tags with a booking number for gold collections.	gold, hallmarked, wedding	WhatsApp automation, ecommerce	Confirm exact showroom name from Instagram bio.
Gobind Jewellers	gobindjewellers	+91 9593222111	Durgapur	West Bengal	Gold & seasonal jewellery	Call / WhatsApp; home delivery WB/JH	No	—	7	Posts list Chandidas Market address with WhatsApp/call numbers.	bridal gold, showroom	WA automation, CRM	Mid-size showroom; validate digital maturity from profile.
Wedding Answers (bridal gifting)	weddinganswers	+91 8368213149	Delhi	India	Bridal chooda / kalire / gifting	WhatsApp or DM	No	—	8	Wedding reel promotes WhatsApp for customised boxes.	chooda box, kalire	CRM, payment flows	
Asha Bangles Official	ashabanglesofficial	+91 7014592741	Patiala	Punjab	Punjabi bridal chura	WhatsApp; partial COD	No	—	9	Long-running chura maker with WhatsApp ordering line in indexed posts.	punjabi chura, customise	Automation, ads	
Varudi Jeweller	varudijewellers	Unknown	Surat	Gujarat	Hallmark gold retail	DM instant buy	No	—	7	Surat reel frames DM-first instant buy language.	surat gold, BIS	DM routing, booking	Physical store likely; confirm WhatsApp in bio.
Jodhpuri Silver	jodhpuri_silver	+91 9358839704	Jodhpur	Rajasthan	Rajputi / designer silver	WhatsApp screenshot	No	—	8	Reels show designer payal with WhatsApp screenshot workflow.	jodhpuri silver, COD	WA automation, policy pages	Captions sometimes reference website-order promos; spot-check bio.
JK Jewellers Jodhpur	jkjewellersjodhpur36	+91 8619090636	Jodhpur	Rajasthan	Silver wholesale / retail	DM + WhatsApp	No	—	8	Reel shows DM + WhatsApp for silver payal wholesale.	silver payal, wholesale	Catalog, payments	
Salasar Payal House (Jodhpuri Jewellery)	jodhpuri__jewellery	+91 7568283224	Jodhpur	Rajasthan	Gold rakhdi sets	WhatsApp	No	—	7	Reel advertises WhatsApp contact for made-to-order rakhdi.	rakhdi, gold	WA flows	
Radha Rani Imitation	radha_rani_imitation_7	+91 7023725950	Mumbai	Maharashtra	Wholesale imitation (Bhuleshwar)	Phone / WhatsApp	No	—	9	Lists Mumbai market corner plus mobile contact.	bhuleshwar, imitation	B2B microsite, inventory	
Shree Ram Jewellers Delhi	shreeramjewellers2005	+91 9560512913	Delhi	Delhi	Gold display / chain reels	WhatsApp / call	No	—	7	Reel lists Mangolpuri Delhi plot with phone lines for showroom.	Mangolpuri gold	Lead routing, CRM	Second line 9953743293 appears in some posts.
Ahanti Silver (Ahanti By Pratima)	ahantisilver	+91 9920085102	Mumbai	Maharashtra	Silver / kundan fusion	WhatsApp or DM	No	—	8	Posts show WhatsApp for enquiries on silver pieces.	thushi, kundan	WA Business, catalog	
Dil Kush / Wholesale with Rajesh	wholesale_with_rajesh	Unknown	Mumbai	Maharashtra	Imitation wholesale reels	Contact method verify	No	—	6	Wholesaler featured in indexed reel mentioning Crystal Plaza context.	wholesale imitation	Lead capture page	Confirm WhatsApp line in bio.
Rajesh Ornaments	rajesh_ornaments	+91 8849185085	Ahmedabad	Gujarat	Gold / boutique at Manek Chowk	DM + appointment call	No	—	8	Lists Manek Chowk address with contact phone.	Manek Chowk, handmade	Scheduling, CRM	
Advita Silver Collections	advitasilvercollections	Unknown	Unknown	India	925 silver with AD / moissanite	DM for orders	No	—	7	Indexed post states DM for orders on moissanite silver necklace.	moissanite, 925	DM tooling, ecommerce	Confirm city from bio.
Tuhi Jewels	tuhijewels	Unknown	Unknown	India	One-gram / temple jhumkas	DM or WhatsApp	No	—	8	Indexed offer text instructs DM/WhatsApp for orders.	1 gram gold, temple	Automation, reels ads	Exact WhatsApp not shown in search snippet.
Chezian Velli Maaligai	chezian_velli_maaligai	+91 7010078402	Chennai	Tamil Nadu	925 silver laser customised rings	DM or WhatsApp	No	—	9	Reel lists WhatsApp number for silver ring orders.	silver ring, laser	Custom order UX	
Nikhil Jewellery Hyderabad	nikhiljewelleryhyderabad	Unknown	Hyderabad	Telangana	916 temple gold reels	DM enquiries	No	—	7	Hyderabad / LB Nagar tagged gold content.	puligoru, temple	Local ads, WA	Confirm WhatsApp vs showroom-only in bio.
Angaja Silver	angaja.silver	Unknown	Gurugram	Haryana	925 silver payal / anklets	Shop + DM implied	No	—	6	Geotagged Gurugram reel for silver anklets; contact not in snippet.	silver anklets	Local SEO, WA	
Abhivyakti Jewels	abhivyaktijewels	+91 9828290357	Unknown	India	Fashion jewellery bracelets	DM to listed number	No	—	7	Bracelet post embeds phone inside DM instruction flow.	bracelets, prepay	WA migration	
Silver Shine Jewellery	silvershine_jewelery	+91 7572962224	Vadodara	Gujarat	925 hallmark silver	DM or WhatsApp	No	—	8	Baroda-tagged reel names WhatsApp/DM for orders.	vadodara silver	WA automation	
Shree Silver Pune	silver_jewels_pune	Unknown	Pune	Maharashtra	925 silver retail / rings	Visit shop / online verify	No	—	6	Reel emphasises Raviwar Peth Pune location; confirm DM channel.	Pune silver	GMB optimisation	
Mahalaxmi Jwellers (Gold casting)	mahalaxmi_gold99	+91 9880820391	Mysuru	Karnataka	916 hallmark casting gold	DM + WhatsApp	No	—	8	Reel lists dual WhatsApp lines for chain enquiries.	casting chains, gold	Multi-agent WA	Alternate line 7348921999 appears on same brand.
Lakshmi Srinivasa Jewelleries	lakshmisrinivasajewelleries	+91 7416588396	Khammam	Telangana	925 antique silver	WhatsApp / video consult	No	—	8	Reel promotes video-call booking with listed contacts.	antique silver, video call	Scheduling automation	Second line 7416388396 also posted.
Lavanya Jewellers (Gold)	lavanyajewellers_slj	+91 9441176530	Vijayawada	Andhra Pradesh	Handmade 916 gold bangles	WhatsApp custom	No	—	8	Kasu bangle reels show WhatsApp for pricing/booking.	kasu bangles, handmade	Gold ecommerce flows	
Mahalaxmi Gold & Diamond Merch	mahalaxmiadyar	Unknown	Chennai	Tamil Nadu	Gold jewellery retail reels	Purchase method verify	No	—	5	Chennai-area gold merchant reels; validate DM-first fit.	Chennai gold	Research-first outreach	Validate franchise vs independent.
Kaurz Crown Jewellery	kaurzcrownjewellery	+91 9888298050	Unknown	Punjab	92.5 kundan silver gold-plated	WhatsApp or DM	No	—	8	Post lists WhatsApp ordering and customisation bullets.	Punjabi silver, kundan	WA catalogue	
